base_index,variant,source,mirrored,rival_side,winner,outcome,elapsed_ticks,elapsed_seconds,rival_inherited_original_physical_car,rival_closest_to_ball,ball_field_third,ball_height_band,rival_boost_advantage,touch_rival,touch_nexto,demo_rival,demo_nexto,possession_total_rival,possession_same_rival,possession_opponent_rival,goal_entry_valid,goal_entry_x,goal_entry_z
239,0,rival_stochastic,False,0,1,nexto,293,2.441666666666667,Blue,False,middle,ground,9.999996185302734,0,10,0,0,0,0,0,False,-804.8073120117188,169.33816528320312
239,1,rival_stochastic,False,1,1,rival,318,2.65,Orange,True,middle,ground,-9.999996185302734,28,0,0,0,27,27,0,False,-193.60061645507812,93.1156005859375
239,2,rival_stochastic,True,0,0,rival,318,2.65,Orange,True,middle,ground,-9.999996185302734,28,0,0,0,27,27,0,False,-193.620361328125,93.11178588867188
239,3,rival_stochastic,True,1,0,nexto,293,2.441666666666667,Blue,False,middle,ground,9.999996185302734,0,10,0,0,0,0,0,False,-804.8018798828125,169.3398895263672
240,0,rival_stochastic,False,0,1,nexto,1611,13.425,Blue,True,middle,mid,-8.666667938232422,0,6,0,0,0,0,0,False,199.2663116455078,541.0838623046875
240,1,rival_stochastic,False,1,0,nexto,892,7.433333333333334,Orange,False,middle,mid,8.666667938232422,0,4,0,0,0,0,0,False,-701.5729370117188,361.7282409667969
240,2,rival_stochastic,True,0,1,nexto,892,7.433333333333334,Orange,False,middle,mid,8.666667938232422,0,4,0,0,0,0,0,False,-695.7855834960938,364.5736389160156
240,3,rival_stochastic,True,1,0,nexto,1390,11.583333333333334,Blue,True,middle,mid,-8.666667938232422,0,6,0,0,0,0,0,False,386.6618957519531,356.1298522949219
241,0,rival_stochastic,False,0,1,nexto,1389,11.575,Blue,False,middle,ground,16.666412353515625,2,79,0,0,2,1,1,False,455.3108215332031,339.2207946777344
241,1,rival_stochastic,False,1,0,nexto,452,3.7666666666666666,Orange,True,middle,ground,-16.666412353515625,0,2,0,0,0,0,0,False,-184.9182586669922,127.23930358886719
241,2,rival_stochastic,True,0,1,nexto,452,3.7666666666666666,Orange,True,middle,ground,-16.666412353515625,0,2,0,0,0,0,0,False,-184.9335479736328,127.22242736816406
241,3,rival_stochastic,True,1,0,nexto,1364,11.366666666666667,Blue,False,middle,ground,16.666412353515625,2,89,0,0,2,1,1,False,-302.6203918457031,93.29278564453125
242,0,rival_stochastic,False,0,1,nexto,538,4.483333333333333,Blue,True,middle,ground,-7.777774810791016,0,8,0,0,0,0,0,False,-510.774169921875,93.13591766357422
242,1,rival_stochastic,False,1,0,nexto,841,7.008333333333334,Orange,False,middle,ground,7.777774810791016,0,9,0,0,0,0,0,False,-491.6055908203125,131.05677795410156
242,2,rival_stochastic,True,0,1,nexto,835,6.958333333333333,Orange,False,middle,ground,7.777774810791016,0,12,0,0,0,0,0,False,-378.2647399902344,121.48152160644531
242,3,rival_stochastic,True,1,0,nexto,538,4.483333333333333,Blue,True,middle,ground,-7.777774810791016,0,8,0,0,0,0,0,False,-510.8360595703125,93.1369857788086
243,0,rival_stochastic,False,0,1,nexto,867,7.225,Blue,False,blue,ground,-58.66650390625,0,13,0,0,0,0,0,False,198.2032470703125,474.7058410644531
243,1,rival_stochastic,False,1,0,nexto,1484,12.366666666666667,Orange,True,blue,ground,58.66650390625,5,19,0,0,5,4,1,False,-23.05603790283203,262.9717712402344
243,2,rival_stochastic,True,0,1,nexto,2007,16.725,Orange,True,orange,ground,58.66650390625,4,88,0,0,4,2,2,False,-437.0395202636719,123.05975341796875
243,3,rival_stochastic,True,1,0,nexto,867,7.225,Blue,False,orange,ground,-58.66650390625,0,13,0,0,0,0,0,False,199.758056640625,474.95916748046875
244,0,rival_stochastic,False,0,1,nexto,584,4.866666666666666,Blue,False,orange,ground,0.0,0,6,0,0,0,0,0,False,21.326370239257812,99.7261962890625
244,1,rival_stochastic,False,1,0,nexto,458,3.816666666666667,Orange,True,orange,ground,0.0,0,2,0,0,0,0,0,False,-463.8175354003906,93.7154541015625
244,2,rival_stochastic,True,0,1,nexto,458,3.816666666666667,Orange,True,blue,ground,0.0,0,2,0,0,0,0,0,False,-464.2349853515625,93.72782897949219
244,3,rival_stochastic,True,1,0,nexto,584,4.866666666666666,Blue,False,blue,ground,0.0,0,6,0,0,0,0,0,False,21.132915496826172,100.0334701538086
245,0,rival_stochastic,False,0,1,nexto,459,3.825,Blue,False,orange,ground,-22.666645050048828,0,14,0,0,0,0,0,False,25.911191940307617,93.14775085449219
245,1,rival_stochastic,False,1,0,nexto,1500,12.5,Orange,True,orange,ground,22.666645050048828,26,22,0,0,26,25,1,False,-282.4919128417969,93.15370178222656
245,2,rival_stochastic,True,0,1,nexto,2317,19.308333333333334,Orange,True,blue,ground,22.666645050048828,26,16,0,0,26,25,1,False,217.05960083007812,111.04634094238281
245,3,rival_stochastic,True,1,0,nexto,458,3.816666666666667,Blue,False,blue,ground,-22.666645050048828,0,15,0,0,0,0,0,False,27.522823333740234,93.32984924316406
