checkpoint,world,pair_key,starting_layout,rival_side,termination,winner,duration_ticks,duration_seconds,rival_touches,nexto_touches,first_toucher,rival_saves,nexto_saves,rival_flips,nexto_flips,rival_wavedash_candidates,nexto_wavedash_candidates,rival_speed_increasing_wavedash_candidates,nexto_speed_increasing_wavedash_candidates,rival_zapdash_candidates,nexto_zapdash_candidates,rival_double_dash_candidate_events,nexto_double_dash_candidate_events
plus_239,461,side0-layout1-slot461,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,462,side0-layout2-slot462,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,463,side0-layout3-slot463,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,464,side0-layout4-slot464,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,465,side0-layout0-slot465,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,466,side0-layout1-slot466,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,467,side0-layout2-slot467,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,468,side0-layout3-slot468,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,469,side0-layout4-slot469,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,470,side0-layout0-slot470,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,471,side0-layout1-slot471,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,472,side0-layout2-slot472,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,473,side0-layout3-slot473,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,474,side0-layout4-slot474,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,475,side0-layout0-slot475,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,476,side0-layout1-slot476,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,477,side0-layout2-slot477,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,478,side0-layout3-slot478,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,479,side0-layout4-slot479,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,480,side0-layout0-slot480,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,481,side0-layout1-slot481,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,482,side0-layout2-slot482,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,483,side0-layout3-slot483,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,484,side0-layout4-slot484,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,485,side0-layout0-slot485,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,486,side0-layout1-slot486,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,487,side0-layout2-slot487,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,488,side0-layout3-slot488,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,489,side0-layout4-slot489,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,490,side0-layout0-slot490,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,491,side0-layout1-slot491,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,492,side0-layout2-slot492,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
